Id,Home Number,Reading,Status,Date,Time
314,MB314,13.9289999,UP,02/01/2024,10:9
314,MB314,26.14500046,UP,04/01/2024,14:50
314,MB314,26.29100037,UP,04/01/2024,15:2
314,MB314,26.53100014,UP,04/01/2024,15:15
314,MB314,26.97999954,UP,04/01/2024,15:38
314,MB314,27.1989994,UP,04/01/2024,15:49
314,MB314,29.49099922,UP,04/01/2024,18:31
315,MB315,,Energy Meter Issue,04/01/2024,18:26
314,MB314,34.84999847,UP,05/01/2024,15:22
314,MB314,36.74100113,UP,05/01/2024,17:0
314,MB314,42.90999985,UP,06/01/2024,20:47
314,MB314,44.4659996,UP,06/01/2024,22:44
314,MB314,45.97800064,UP,07/01/2024,16:24
315,MB315,,Energy Meter Issue,07/01/2024,16:20
315,MB315,,Energy Meter Issue,07/01/2024,16:36
314,MB314,49.04299927,UP,07/01/2024,21:27
315,MB315,,Energy Meter Issue,07/01/2024,21:22
314,MB314,55.63800049,UP,09/01/2024,15:8
314,MB314,67.73200226,UP,11/01/2024,12:43
314,MB314,67.86799622,UP,11/01/2024,12:53
314,MB314,71.41600037,UP,11/01/2024,17:41
314,MB314,93.34200287,UP,15/01/2024,22:59
